drop_id,pisco_code,biomass_kg
ANA_267,bm_SPUL,42
ANA_270,bm_SPUL,160
ANA_271,bm_SPUL,598
CAR_001,bm_SPUL,68
CAR_002,bm_SPUL,40
CAR_003,bm_SPUL,462
CAR_004,bm_SPUL,14
CAR_005,bm_SPUL,28
CAR_009,bm_SPUL,536
CAR_010,bm_SPUL,4
CAR_011,bm_SPUL,48
CAR_012,bm_SPUL,4
CAR_014,bm_SPUL,9
CAR_015,bm_SPUL,190
CAR_016,bm_SPUL,160
CAR_017,bm_SPUL,86
CAR_019,bm_SPUL,144
CAR_020,bm_SPUL,450
CAR_021,bm_SPUL,48
CAR_024,bm_SPUL,343
CAR_025,bm_SPUL,174
CAR_026,bm_SPUL,1185
CAR_028,bm_SPUL,784
CAR_029,bm_SPUL,108
CAR_031,bm_SPUL,33
CAR_033,bm_SPUL,5
CAR_034,bm_SPUL,224
CAR_036,bm_SPUL,266
CAR_037,bm_SPUL,189
CAR_042,bm_SPUL,429
CAR_043,bm_SPUL,78
CAR_044,bm_SPUL,3
CAR_045,bm_SPUL,225
CAR_046,bm_SPUL,40
CAR_049,bm_SPUL,42
CAR_050,bm_SPUL,168
CAR_051,bm_SPUL,84
CAR_052,bm_SPUL,56
CAR_055,bm_SPUL,12
CAR_057,bm_SPUL,243
CAR_058,bm_SPUL,30
CAR_059,bm_SPUL,39
CAR_060,bm_SPUL,78
CAR_061,bm_SPUL,51
CAR_062,bm_SPUL,8
CAR_065,bm_SPUL,90
CAR_066,bm_SPUL,40
CAR_067,bm_SPUL,207
CAR_068,bm_SPUL,9
CAR_069,bm_SPUL,225
CAR_071,bm_SPUL,85
CAR_072,bm_SPUL,14
CAR_073,bm_SPUL,40
CAR_074,bm_SPUL,5
CAR_075,bm_SPUL,25
CAR_076,bm_SPUL,65
CAR_077,bm_SPUL,4
CAR_078,bm_SPUL,105
CAR_079,bm_SPUL,25
CAR_080,bm_SPUL,5
CAR_081,bm_SPUL,50
CAR_082,bm_SPUL,30
CAR_083,bm_SPUL,15
CAR_084,bm_SPUL,18
CAR_085,bm_SPUL,25
CAR_086,bm_SPUL,2
CAR_088,bm_SPUL,14
CAR_089,bm_SPUL,8
CAR_092,bm_SPUL,105
CAR_096,bm_SPUL,117
CAR_097,bm_SPUL,26
CAR_099,bm_SPUL,24
CAR_100,bm_SPUL,5
CAR_101,bm_SPUL,341
CAR_102,bm_SPUL,430
CAR_103,bm_SPUL,170
CAR_104,bm_SPUL,85
CAR_105,bm_SPUL,98
CAR_106,bm_SPUL,715
CAR_107,bm_SPUL,12
CAR_108,bm_SPUL,287
CAR_109,bm_SPUL,583
CAR_110,bm_SPUL,220
CAR_113,bm_SPUL,455
CAR_114,bm_SPUL,51
CAR_115,bm_SPUL,168
CAR_116,bm_SPUL,36
CAR_117,bm_SPUL,12
CAR_118,bm_SPUL,250
CAR_121,bm_SPUL,153
CAR_122,bm_SPUL,54
CAR_123,bm_SPUL,16
CAR_124,bm_SPUL,15
CAR_125,bm_SPUL,360
CAR_126,bm_SPUL,78
CAR_127,bm_SPUL,558
