Filename,Frame,Time_(mins),Period,Period_time_(mins),OpCode,TapeReader,Depth,Comment,Date,Site,Camera_Type,Vis,Time_of_Drop,Heading,,,Family,Genus,Species,Species_Code,MaxN,Has_fed
ANA_007_LEFT_SEG2.MP4,410,17.9457,1,15.0411,ANA_007,JZ,76.3,,9/12/2019,Front Side,1,,,,,,Makebelieve,Sebastes,rosaceus,SROS,3,No
ANA_007_LEFT_SEG1.MP4,12569,6.9898,1,4.0852,ANA_007,JZ,76.3,,9/12/2019,Front Side,1,,,,,,Makebelieve,Sebastes,semicinctus,SSEM,6,No
ANA_008_LEFT_SEG1.MP4,8697,4.8365,1,1.2629,ANA_008,JZ,69.3,,9/12/2019,Back Side,1,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,12,No
ANA_008_LEFT_SEG1.MP4,30072,16.7234,1,13.1498,ANA_008,JZ,69.3,,9/12/2019,Back Side,1,,,,,,Makebelieve,Sebastes,caurinus,SCAU,1,No
ANA_008_LEFT_SEG1.MP4,12145,6.754,1,3.1804,ANA_008,JZ,69.3,,9/12/2019,Back Side,1,,,,,,Makebelieve,Sebastes,rosaceus,SROS,1,No
ANA_008_LEFT_SEG2.MP4,9440,22.9674,1,19.3938,ANA_008,JZ,69.3,,9/12/2019,Back Side,1,,,,,,Makebelieve,Sebastes,semicinctus,SSEM,1,No
ANA_008_LEFT_SEG1.MP4,11652,6.4798,1,2.9062,ANA_008,JZ,69.3,,9/12/2019,Back Side,1,,,,,,Makebelieve,Unidentified,sp,,2,No
ANA_009_LEFT_SEG1.MP4,17548,9.7586,1,5.9799,ANA_009,KM,45.2,,9/12/2019,,,,,,,,Makebelieve,Caulolatilus,princeps,CPRI,11,No
ANA_009_LEFT_SEG3.MP4,4616,38.0024,2,4.148,ANA_009,KM,45.2,,9/12/2019,,,,,,,,Makebelieve,Semicossyphus,pulcher,,1,No
ANA_009_LEFT_SEG1.MP4,23492,13.0642,1,9.2854,ANA_009,KM,45.2,,9/12/2019,,,,,,,,Makebelieve,Stereolepis,gigas,,1,No
