filename,time_mins,period,length_mm,rms_mm,range_mm,tape_reader,drop_id,genus,species,pisco_code,number,stage,activity,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa,org_type,common_name,species_name,kingdom,phylum,class,order,family,common_group,trophic_group,broad_trophic_group,targeted,feeding_mode,structure_forming,turf_forming,substrate,lifestyle,taxonomic_id,taxonomic_source,wl_a,wl_b,wl_w_units,wl_l_units,wl_input_length,ll_equation_for_wl,lc_a_for_wl,lc_b_for_wl,lc_type_for_wl,recreational_legal_size_in_tl_2020,commercial_legal_size_in_tl_2020,thermal_composite_class,thermal_agreement,water_column_position,mobility,substrate_association,fish_length_converted,fish_weight_g,fish_weight_lbs,fish_weight_kg
ANA_001_LEFT_SEG1.MP4,13.6153,1,116.103,6.481,1725.853,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,116.103,16.47,0.0363,0.01647
ANA_001_LEFT_SEG1.MP4,15.8442,1,269.13,5.49,2236.993,CJ,ANA_001,Citharichthys,sordidus,CSOR,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Sanddabs,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,10297,WoRMS,0.00552,3.232454,g,cm,TL,NA,NA,NA,NA,NSL,NA,Cool,High,benthic (on/in the bottom),mobile (>1000m),soft,26.913,231.33,0.51,0.23133
ANA_001_LEFT_SEG1.MP4,15.9126,1,96.271,2.874,1240.528,CJ,ANA_001,Sebastes,rosaceus,SROS,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Rosy Rockfish,Sebastes rosaceus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,274787,WoRMS,9.89e-6,3.068,g,mm,TL,NA,NA,NA,NA,NSL,NA,Cool,High,benthopelagic (near the bottom),mobile (10-100m),rock,96.271,12.04,0.0265,0.01203999999999999
ANA_001_LEFT_SEG1.MP4,15.9637,1,157.699,8.675,3322.57,CJ,ANA_001,Citharichthys,sordidus,CSOR,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Sanddabs,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,10297,WoRMS,0.00552,3.232454,g,cm,TL,NA,NA,NA,NA,NSL,NA,Cool,High,benthic (on/in the bottom),mobile (>1000m),soft,15.769900000000002,41.1,0.0906,0.0411
ANA_001_LEFT_SEG1.MP4,16.0599,1,140.412,7.527,2319.92,CJ,ANA_001,Citharichthys,sordidus,CSOR,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Sanddabs,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,10297,WoRMS,0.00552,3.232454,g,cm,TL,NA,NA,NA,NA,NSL,NA,Cool,High,benthic (on/in the bottom),mobile (>1000m),soft,14.0412,28.24,0.0623,0.02823999999999999
ANA_001_LEFT_SEG2.MP4,21.16,1,357.815,8.579,2265.016,CJ,ANA_001,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,357.815,507.75,1.1194,0.50775
ANA_001_LEFT_SEG2.MP4,21.2017,1,281.453,9.579,2360.956,CJ,ANA_001,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,281.453,234.4,0.5168,0.2344
ANA_001_LEFT_SEG2.MP4,21.3669,1,354.454,8.024,2751.74,CJ,ANA_001,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,354.454,492.56,1.0859,0.49256
ANA_001_LEFT_SEG2.MP4,21.3697,1,252.452,8.905,2105.454,CJ,ANA_001,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,252.452,165.15,0.3641,0.16515000000000002
ANA_001_LEFT_SEG2.MP4,21.6438,1,248.861,7.464,1757.656,CJ,ANA_001,Caulolatilus,princeps,CPRI,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Tilefish,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,278535,WoRMS,3.04e-6,3.22,g,mm,TL,NA,NA,NA,NA,NSL,NA,Warm,High,benthopelagic (near the bottom),mobile (>1000m),soft,248.861,157.71,0.3477,0.15771000000000002
