drop_id,bm_AHOL,bm_COTSP,bm_CPRI,bm_CPUN,bm_CSOR,bm_CVEN,bm_EJAC,bm_GGAL,bm_HARG,bm_HRUB,bm_HSEM,bm_LDAL,bm_LHIR,bm_OCAL,bm_OELO,bm_OPIC,bm_OYT,bm_PATR,bm_PCAL,bm_PCLA,bm_PCOE,bm_PFUR,bm_PMAC,bm_RNIC,bm_RONSP,bm_RTOX,bm_RVAC,bm_SATR,bm_SAUR,bm_SCAR,bm_SCAU,bm_SCHR,bm_SENT,bm_SGIG,bm_SGUT,bm_SHOP,bm_SLAL,bm_SLUC,bm_SMAR,bm_SMIN,bm_SMYS,bm_SPAU,bm_SPIN,bm_SPUL,bm_SRAS,bm_SROS,bm_SRUB,bm_SSAG,bm_SSAX,bm_SSEM,bm_STRE,bm_SUMB,bm_TSYM,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa
ANA_020,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2019-10-04T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.01719,-119.38384,1899-12-31T13:50:00Z,38.3,mixed_soft,medium,low,Anacapa,Anacapa MPA
ANA_022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-10-22T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02455,-119.36285,1899-12-31T09:51:00Z,52,soft,low,low,Anacapa,Anacapa MPA
ANA_023,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-10-22T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02615,-119.36593,1899-12-31T09:56:00Z,61,soft,low,low,Anacapa,Anacapa MPA
ANA_024,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2019-10-22T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02533,-119.37248,1899-12-31T10:04:00Z,60,mixed_soft,medium,low,Anacapa,Anacapa MPA
ANA_025,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,2019-12-09T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99554,-119.41295,1899-12-31T09:24:00Z,46.9,soft,low,low,Anacapa,Anacapa REF
ANA_026,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2019-12-09T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.99674,-119.42184,1899-12-31T09:34:00Z,48.8,soft,low,low,Anacapa,Anacapa REF
ANA_027,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,2019-12-09T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00317,-119.43143,1899-12-31T09:41:00Z,40.4,soft,low,low,Anacapa,Anacapa REF
ANA_029,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-12-09T00:00:00Z,11,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.01626,-119.38792,1899-12-31T10:52:00Z,40.9,soft,low,low,Anacapa,Anacapa MPA
ANA_031,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,2019-12-13T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.0158,-119.38899,1899-12-31T09:18:00Z,35.9,mixed_hard,low,low,Anacapa,Anacapa MPA
ANA_032,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2019-12-13T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.01375,-119.39685,1899-12-31T09:35:00Z,48.8,soft,low,low,Anacapa,Anacapa MPA
