drop_id,pisco_code,biomass_kg
ANA_267,bm_AHOL,42
ANA_270,bm_AHOL,160
ANA_271,bm_AHOL,598
CAR_001,bm_AHOL,68
CAR_002,bm_AHOL,40
CAR_003,bm_AHOL,462
CAR_004,bm_AHOL,14
CAR_005,bm_AHOL,28
CAR_009,bm_AHOL,536
CAR_010,bm_AHOL,4
CAR_011,bm_AHOL,48
CAR_012,bm_AHOL,4
CAR_014,bm_AHOL,9
CAR_015,bm_AHOL,190
CAR_016,bm_AHOL,160
CAR_017,bm_AHOL,86
CAR_019,bm_AHOL,144
CAR_020,bm_AHOL,450
CAR_021,bm_AHOL,48
CAR_024,bm_AHOL,343
CAR_025,bm_AHOL,174
CAR_026,bm_AHOL,1185
CAR_028,bm_AHOL,784
CAR_029,bm_AHOL,108
CAR_031,bm_AHOL,33
CAR_033,bm_AHOL,5
CAR_034,bm_AHOL,224
CAR_036,bm_AHOL,266
CAR_037,bm_AHOL,189
CAR_042,bm_AHOL,429
CAR_043,bm_AHOL,78
CAR_044,bm_AHOL,3
CAR_045,bm_AHOL,225
CAR_046,bm_AHOL,40
CAR_049,bm_AHOL,42
CAR_050,bm_AHOL,168
CAR_051,bm_AHOL,84
CAR_052,bm_AHOL,56
CAR_055,bm_AHOL,12
CAR_057,bm_AHOL,243
CAR_058,bm_AHOL,30
CAR_059,bm_AHOL,39
CAR_060,bm_AHOL,78
CAR_061,bm_AHOL,51
CAR_062,bm_AHOL,8
CAR_065,bm_AHOL,90
CAR_066,bm_AHOL,40
CAR_067,bm_AHOL,207
CAR_068,bm_AHOL,9
CAR_069,bm_AHOL,225
CAR_071,bm_AHOL,85
CAR_072,bm_AHOL,14
CAR_073,bm_AHOL,40
CAR_074,bm_AHOL,5
CAR_075,bm_AHOL,25
CAR_076,bm_AHOL,65
CAR_077,bm_AHOL,4
CAR_078,bm_AHOL,105
CAR_079,bm_AHOL,25
CAR_080,bm_AHOL,5
CAR_081,bm_AHOL,50
CAR_082,bm_AHOL,30
CAR_083,bm_AHOL,15
CAR_084,bm_AHOL,18
CAR_085,bm_AHOL,25
CAR_086,bm_AHOL,2
CAR_088,bm_AHOL,14
CAR_089,bm_AHOL,8
CAR_092,bm_AHOL,105
CAR_096,bm_AHOL,117
CAR_097,bm_AHOL,26
CAR_099,bm_AHOL,24
CAR_100,bm_AHOL,5
CAR_101,bm_AHOL,341
CAR_102,bm_AHOL,430
CAR_103,bm_AHOL,170
CAR_104,bm_AHOL,85
CAR_105,bm_AHOL,98
CAR_106,bm_AHOL,715
CAR_107,bm_AHOL,12
CAR_108,bm_AHOL,287
CAR_109,bm_AHOL,583
CAR_110,bm_AHOL,220
CAR_113,bm_AHOL,455
CAR_114,bm_AHOL,51
CAR_115,bm_AHOL,168
CAR_116,bm_AHOL,36
CAR_117,bm_AHOL,12
CAR_118,bm_AHOL,250
CAR_121,bm_AHOL,153
CAR_122,bm_AHOL,54
CAR_123,bm_AHOL,16
CAR_124,bm_AHOL,15
CAR_125,bm_AHOL,360
CAR_126,bm_AHOL,78
CAR_127,bm_AHOL,558
CAR_128,bm_AHOL,225
CAR_129,bm_AHOL,126
CAR_130,bm_AHOL,6
CAR_131,bm_AHOL,141
CAR_132,bm_AHOL,374
CAR_133,bm_AHOL,54
CAR_202,bm_AHOL,77
CAR_203,bm_AHOL,264
CAR_205,bm_AHOL,144
CAR_206,bm_AHOL,136
CAR_207,bm_AHOL,12
CAR_208,bm_AHOL,196
CAR_210,bm_AHOL,21
CAR_211,bm_AHOL,112
CAR_212,bm_AHOL,24
CAR_213,bm_AHOL,240
CAR_214,bm_AHOL,99
CAR_215,bm_AHOL,4
CAR_216,bm_AHOL,8
CAR_217,bm_AHOL,84
CAR_218,bm_AHOL,42
CAR_219,bm_AHOL,248
CAR_220,bm_AHOL,119
CAR_221,bm_AHOL,154
CAR_222,bm_AHOL,72
CAR_223,bm_AHOL,36
CAR_224,bm_AHOL,954
CAR_225,bm_AHOL,182
CAR_226,bm_AHOL,32
CAR_227,bm_AHOL,68
CAR_228,bm_AHOL,9
CAR_230,bm_AHOL,240
CAR_231,bm_AHOL,20
CAR_232,bm_AHOL,45
CAR_233,bm_AHOL,28
CAR_234,bm_AHOL,176
CAR_237,bm_AHOL,42
CAR_238,bm_AHOL,120
CAR_240,bm_AHOL,250
CAR_241,bm_AHOL,350
CAR_242,bm_AHOL,180
CAR_243,bm_AHOL,162
CAR_244,bm_AHOL,480
CAR_245,bm_AHOL,152
CAR_246,bm_AHOL,190
CAR_248,bm_AHOL,42
CAR_249,bm_AHOL,136
CAR_250,bm_AHOL,2
CAR_251,bm_AHOL,416
CAR_252,bm_AHOL,310
CAR_254,bm_AHOL,32
CAR_255,bm_AHOL,84
CAR_256,bm_AHOL,500
CAR_257,bm_AHOL,9
CAR_258,bm_AHOL,154
CAR_259,bm_AHOL,68
CAR_260,bm_AHOL,40
CAR_262,bm_AHOL,1298
CAR_263,bm_AHOL,77
CAR_264,bm_AHOL,6
CAR_265,bm_AHOL,320
CAR_266,bm_AHOL,152
CAR_267,bm_AHOL,420
CAR_269,bm_AHOL,35
CAR_271,bm_AHOL,684
CAR_272,bm_AHOL,189
CAR_273,bm_AHOL,275
CAR_274,bm_AHOL,286
CAR_275,bm_AHOL,12
CAR_276,bm_AHOL,152
ANA_001,bm_COTSP,80
ANA_002,bm_COTSP,88
ANA_003,bm_COTSP,259
ANA_004,bm_COTSP,75
ANA_005,bm_COTSP,26
ANA_006,bm_COTSP,8
ANA_007,bm_COTSP,30
ANA_009,bm_COTSP,12
ANA_011,bm_COTSP,4
ANA_013,bm_COTSP,84
ANA_015,bm_COTSP,24
ANA_018,bm_COTSP,7
ANA_019,bm_COTSP,11
ANA_020,bm_COTSP,176
ANA_022,bm_COTSP,1
ANA_023,bm_COTSP,3
ANA_024,bm_COTSP,40
ANA_025,bm_COTSP,64
ANA_026,bm_COTSP,45
ANA_027,bm_COTSP,140
ANA_029,bm_COTSP,3
ANA_031,bm_COTSP,124
ANA_032,bm_COTSP,14
ANA_034,bm_COTSP,66
ANA_035,bm_COTSP,156
ANA_036,bm_COTSP,6
ANA_037,bm_COTSP,90
ANA_040,bm_COTSP,224
ANA_041,bm_COTSP,240
ANA_042,bm_COTSP,126
ANA_043,bm_COTSP,3
ANA_044,bm_COTSP,8
ANA_045,bm_COTSP,14
ANA_046,bm_COTSP,217
ANA_047,bm_COTSP,10
ANA_048,bm_COTSP,210
ANA_050,bm_COTSP,98
